semester,skema,title,link,ID,duration
E13/F14,Skema C,Komplekse Tal del1,https://video.dtu.dk/media/Komplekse+Tal+del1/0_nh2pvfdd/200597,0_nh2pvfdd,2450.84
E13/F14,Skema C,Komplekse Tal Del2,https://video.dtu.dk/media/Komplekse+Tal+Del2/0_dsb26q70/200597,0_dsb26q70,1907.48
E13/F14,Skema C,Komplekse Tal Del 1,https://video.dtu.dk/media/Komplekse+Tal+Del+1/0_423114bb/200597,0_423114bb,2515.24
E13/F14,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_buuuew2w/200597,0_buuuew2w,2480.52
E13/F14,Skema C,Komplekse Tal Del1,https://video.dtu.dk/media/Komplekse+Tal+Del1/0_4yunbrpb/200597,0_4yunbrpb,2575.16
E13/F14,Skema C,Komplekse Tal Del2,https://video.dtu.dk/media/Komplekse+Tal+Del2/0_lujjbv3o/200597,0_lujjbv3o,1732.24
E13/F14,Skema C,Komplekse Tal Del 1,https://video.dtu.dk/media/Komplekse+Tal+Del+1/0_gqliyana/200597,0_gqliyana,2292.12
E13/F14,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_wnrs6ifl/200597,0_wnrs6ifl,2667.28
E13/F14,Skema C,Komplekse Tal Binom Ligning Del1,https://video.dtu.dk/media/Komplekse+Tal+Binom+Ligning+Del1/0_dbx8gnqk/200597,0_dbx8gnqk,2491.84
E13/F14,Skema C,Komplekse Tal Binom Ligning Del2,https://video.dtu.dk/media/Komplekse+Tal+Binom+Ligning+Del2/0_oy25casz/200597,0_oy25casz,2959.72
E13/F14,Skema C,Komplekse Tal Del 1,https://video.dtu.dk/media/Komplekse+Tal+Del+1/0_033egw2e/200597,0_033egw2e,2463.96
E13/F14,Skema C,Komplekse Tal Del 2,https://video.dtu.dk/media/Komplekse+Tal+Del+2/0_9sw2ovfm/200597,0_9sw2ovfm,2746.0
E13/F14,Skema C,Integralregning Del1,https://video.dtu.dk/media/Integralregning+Del1/0_uo0hhfjp/200597,0_uo0hhfjp,2646.4
E13/F14,Skema C,Integralregning Del2,https://video.dtu.dk/media/Integralregning+Del2/0_gy1qoyij/200597,0_gy1qoyij,1758.76
E13/F14,Skema C,Lineære Ligninger Del1,https://video.dtu.dk/media/Line%C3%A6re+Ligninger+Del1/0_7wy4bqt7/200597,0_7wy4bqt7,2659.16
E13/F14,Skema C,Lineære Ligninger Del2,https://video.dtu.dk/media/Line%C3%A6re+Ligninger+Del2/0_xesxyc52/200597,0_xesxyc52,3014.92
E13/F14,Skema C,Lineær Algebra Del 1,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+1/0_l16recdt/200597,0_l16recdt,2419.52
E13/F14,Skema C,Lineær Algebra Del 2,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+2/0_dq5q7ewh/200597,0_dq5q7ewh,2394.16
E13/F14,Skema C,Matrixalgebra Del1,https://video.dtu.dk/media/Matrixalgebra+Del1/0_wt6nevda/200597,0_wt6nevda,2841.92
E13/F14,Skema C,Matrixalgebra Del2,https://video.dtu.dk/media/Matrixalgebra+Del2/0_z2otokru/200597,0_z2otokru,2575.8
E13/F14,Skema C,Geometriske Vektorer Del 1,https://video.dtu.dk/media/Geometriske+Vektorer+Del+1/0_a8rh14lj/200597,0_a8rh14lj,2136.36
E13/F14,Skema C,Geometriske Vektorer Del 2,https://video.dtu.dk/media/Geometriske+Vektorer+Del+2/0_sbikh5p4/200597,0_sbikh5p4,3307.84
E13/F14,Skema C,Vektorrum Del 1,https://video.dtu.dk/media/Vektorrum+Del+1/0_kfa9n3ga/200597,0_kfa9n3ga,2456.8
E13/F14,Skema C,Vektorrum Del 2,https://video.dtu.dk/media/Vektorrum+Del+2/0_t4j05lc4/200597,0_t4j05lc4,2626.72
E13/F14,Skema C,Lineær Afbildning Del 1,https://video.dtu.dk/media/Line%C3%A6r+Afbildning+Del+1/0_vba7cm5s/200597,0_vba7cm5s,2381.4
E13/F14,Skema C,Lineær Afbildning Del 2,https://video.dtu.dk/media/Line%C3%A6r+Afbildning+Del+2/0_5ppu2mc7/200597,0_5ppu2mc7,3273.36
E13/F14,Skema C,Basisskifte Del 1,https://video.dtu.dk/media/Basisskifte+Del+1/0_0auqhxn3/200597,0_0auqhxn3,2516.12
E13/F14,Skema C,Basisskifte Del 2,https://video.dtu.dk/media/Basisskifte+Del+2/0_2cnq4tc2/200597,0_2cnq4tc2,1353.6
